ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Probleem,DCM::Instructions,Instructions,,geel: patch wijziging,DCM::Instructions,Instructions,,ZIB-1133 ,Tekstwijziging in instructions,SIMPLE PATCH CHANGE,Low,,Low,
Probleem,NL-CM:5.1.1,Probleem,,groen: geen wijzigingen,NL-CM:5.1.1,Probleem,,,,NO CHANGE,,,,
Probleem,NL-CM:5.1.3,ProbleemNaam,ProbleemNaamCodelijst = Diagnosethesaurus DHD (SNOMED CT) ; ICD-10 ; Nationale Kernset Patiëntproblemen V&VN (SNOMED CT) ; NANDA-I ; Omaha Systems ; ICF ; ICPC-1 NL ; G-Standaard Contra Indicaties (Tabel 40) ; DSM-IV ; DSM-V,oranje: minor change,NL-CM:5.1.3,ProbleemNaam,"ProbleemNaamCodelijst = Omaha Systems [DEPRECATED] ; G-Standaard Contra Indicaties (Tabel 40) [DEPRECATED] ; DHD Diagnosethesaurus ; ICD-10, dutch translation ; SNOMED CT: ^11721000146100 ; Nationale kernset patiëntproblemen ; ICF ; ICPC-1 NL ; DSM-IV ; DSM-5 ; GGZ Diagnoselijst)",ZIB-1110 ; ZIB-661 ; ZIB-987 ; ZIB-1133 ; ZIB-1175 ; ZIB-624 ; ZIB-1477,diverse wijzigingen in codelijst (codestelsels en referentiesets),VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
Probleem,NL-CM:5.1.4,ProbleemStatus,ProbleemStatusCodelijst,groen: geen wijzigingen,NL-CM:5.1.4,ProbleemStatus,ProbleemStatusCodelijst,,,NO CHANGE,,,,
Probleem,NL-CM:5.1.5,Toelichting,,groen: geen wijzigingen,NL-CM:5.1.5,Toelichting,,,,NO CHANGE,,,,
Probleem,NL-CM:5.1.6,ProbleemBeginDatum,,geel: patch wijziging,NL-CM:5.1.6,ProbleemBeginDatum,,ZIB-963 ; ZIB-1202,Tekstwijziging aan defintie concept,SIMPLE PATCH CHANGE,Low,,Low,
Probleem,NL-CM:5.1.8,ProbleemType,ProbleemTypeCodelijst,oranje: minor change,NL-CM:5.1.8,ProbleemType,ProbleemTypeCodelijst,ZIB-627,uitbreiding codelijst met item 'bevinding',VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
Probleem,NL-CM:5.1.9,ProbleemEindDatum,,groen: geen wijzigingen,NL-CM:5.1.9,ProbleemEindDatum,,,,NO CHANGE,,,,
Probleem,NL-CM:5.1.10,VerificatieStatus,VerificatieStatusCodelijst,groen: geen wijzigingen,NL-CM:5.1.10,VerificatieStatus,VerificatieStatusCodelijst,,,NO CHANGE,,,,
Probleem,NL-CM:5.1.11,ProbleemAnatomischeLocatie,ProbleemAnatomischeLocatieCodelijst,oranje: minor change,NL-CM:5.1.14,ProbleemAnatomischeLocatie::AnatomischeLocatie,LocatieCodelijst,ZIB-816 ; ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,codelist [ProbleemAnatomischeLocatieCodelijst]->[LocatieCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.1--20200901000000)],Medium,codelist [LocatieCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.1--20200901000000)]->[ProbleemAnatomischeLocatieCodelijst]
Probleem,NL-CM:5.1.11,ProbleemAnatomischeLocatie,ProbleemAnatomischeLocatieCodelijst,geel: patch wijziging,NL-CM:5.1.14,ProbleemAnatomischeLocatie::AnatomischeLocatie,AnatomischeLocatieCodelijst,ZIB-816 ; ZIB-1116,Tekstwijziging definitie concept,SIMPLE PATCH CHANGE,Low,,Low,
Probleem,NL-CM:5.1.12,ProbleemLateraliteit,ProbleemLateraliteitCodelijst,oranje: minor change,NL-CM:5.1.14,ProbleemAnatomischeLocatie::Lateraliteit,LateraliteitCodelijs,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,codelist [ProbleemLateraliteitCodelijst]->[LateraliteitCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.2--20200901000000)],Medium,codelist [LateraliteitCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.2--20200901000000)]->[ProbleemLateraliteitCodelijst]
Probleem,NL-CM:5.1.13,**concept toegevoegd in 2020**,,rood: major change,NL-CM:5.1.13,NadereSpecificatieProbleemNaam,,ZIB-1147,Item 'NadereSpecificatieProbleemNaam' toegevoegd aan informatiemodel. ,CONCEPT ADDITION,Low,,High,IF [blank]source->target ELSE [toon en stuur de inhoud van dit data item als vrije tekst naar een 2017 ontvanger]
