ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Verrichting,DCM::Concept,Concept,,geel: patch wijziging,DCM::Concept,Concept,,ZIB-1095 ; ZIB-1087,Tekstwijzging defintie concept,SIMPLE PATCH CHANGE,Low,,Low,
Verrichting,NL-CM:14.1.1,Verrichting,,groen: geen wijzigingen,NL-CM:14.1.1,Verrichting,,,,NO CHANGE,,,,SCT DefinitionCode [blank] -> [365470003 Bevinding betreffende gegevens over gezin en gezinssamenstelling]
Verrichting,NL-CM:14.1.2,VerrichtingStartDatum,,oranje: minor change,NL-CM:14.1.2,VerrichtingStartDatum,,ZIB-821,datum in toekomst nu toegestaan,DATETIME IN FUTURE ALLOWED,Low,,Medium,IF [datetime]> TODAY> remove check for dates in future on 2017 zib
Verrichting,NL-CM:14.1.3,VerrichtingEindDatum,,oranje: minor change,NL-CM:14.1.3,VerrichtingEindDatum,,ZIB-821,datum in toekomst nu toegestaan,DATETIME IN FUTURE ALLOWED,Low,,Medium,IF [datetime]> TODAY> remove check for dates in future on 2017 zib
Verrichting,NL-CM:14.1.3,VerrichtingEindDatum,,geel: patch wijziging,NL-CM:14.1.3,VerrichtingEindDatum,,ZIB-993,Tekstwijziging aan defintie concept,SIMPLE PATCH CHANGE,Low,,Low,
Verrichting,NL-CM:14.1.4,VerrichtingType,VerrichtingTypeCodelijst = Verrichtingenthesaurus DHD,geel: patch wijziging,NL-CM:14.1.4,VerrichtingType,VerrichtingTypeCBVCodelijst ; VerrichtingTypeDHDCodelijst ; VerrichtingTypeGGZCodelijst ; VerrichtingTypeNHGCodelijst ; VerrichtingTypeNZaCodelijst,ZIB-954 ; ZIB-1087,Omschrijving VerrichtingType rondom de DHD verrichtingenthesaurus geactualiseerd en aangepast.,SIMPLE PATCH CHANGE,Low,,Low,
Verrichting,NL-CM:14.1.4,VerrichtingType,VerrichtingTypeCodelijst = Verrichtingenthesaurus DHD,oranje: minor change,NL-CM:14.1.4,VerrichtingType,VerrichtingTypeCBVCodelijst ; VerrichtingTypeDHDCodelijst ; VerrichtingTypeGGZCodelijst ; VerrichtingTypeNHGCodelijst ; VerrichtingTypeNZaCodelijst,ZIB-908 ; ZIB-633 ; ZIB-1088 ; ZIB-666 ; ZIB-675 ; ZIB-625 ; ZIB-624,"Er zijn NHG, CBV, NZA en GGZ codelijsten bijgekomen voor vastleggen van verrichtingen",VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
Verrichting,NL-CM:14.1.5,Locatie::Zorgaanbieder,,geel: patch wijziging,NL-CM:14.1.5,Locatie::Zorgaanbieder,,ZIB-821,Tekstwijziging defintie van concept. ,SIMPLE PATCH CHANGE,Low,,Low,
Verrichting,NL-CM:14.1.6,Uitvoerder::Zorgverlener,,groen: geen wijzigingen,NL-CM:14.1.6,Uitvoerder::Zorgverlener,,,,NO CHANGE,,,,
Verrichting,NL-CM:14.1.7,MedischHulpmiddel,,groen: geen wijzigingen,NL-CM:14.1.7,MedischHulpmiddel,,,,NO CHANGE,,,,SCT DefinitionCode [blank] -> [308552006 Status van verslag]
Verrichting,NL-CM:14.1.8,VerrichtingAnatomischeLocatie::AnatomischeLocatie,VerrichtingAnatomischeLocatieCodelijst,oranje: minor change,NL-CM:14.1.13,VerrichtingAnatomischeLocatie::AnatomischeLocatie,LocatieCodelijst,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,codelist [VerrichtingAnatomischeLocatieCodelijst]->[LocatieCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.1--20200901000000)],Medium,codelist [LocatieCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.1--20200901000000)]->[VerrichtingAnatomischeLocatieCodelijst]
Verrichting,NL-CM:14.1.9,Indicatie::Probleem,,groen: geen wijzigingen,NL-CM:14.1.9,Indicatie::Probleem,,,,NO CHANGE,,,,SCT DefinitionCode [27574-3 Skilled nursing treatment plan Progress note and attainment of goals (narrative)] -> [423100009 Results section]
Verrichting,NL-CM:14.1.10,Aanvrager::Zorgverlener,,groen: geen wijzigingen,NL-CM:14.1.10,Aanvrager::Zorgverlener,,,,NO CHANGE,,,,
Verrichting,NL-CM:14.1.11,VerrichtingAnatomischeLocatie::AnatomischeLocatie,VerrichtingLateraliteitCodelijst,oranje: minor change,NL-CM:14.1.13,VerrichtingAnatomischeLocatie::AnatomischeLocatie,LateraliteitCodelijst,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,codelist [VerrichtingLateraliteitCodelijst]->[LateraliteitCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.2--20200901000000)],Medium,codelist [LateraliteitCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.2--20200901000000)]->[VerrichtingLateraliteitCodelijst]
Verrichting,NL-CM:14.1.12,VerrichtingMethode,VerrichtingMethodeCodelijst,groen: geen wijzigingen,NL-CM:14.1.12,VerrichtingMethode,"VerrichtingMethodeCodelijst
Binding: Required",,,NO CHANGE,,,,
